term_str,n,p,i,n_chars,max_pos,n_pos,stop,p_stem,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
row,1375,0.00023623586751136594,12.047484354897744,3,NN,5,0,row,1,0,0,0,0,1,0,0,0,0,-1
delay,1350,0.00023194066992025022,12.073956566258936,5,NN,8,0,delay,1,0,1,1,0,1,0,1,0,0,-1
negative,1335,0.00022936355136558075,12.090076231622213,8,JJ,3,0,neg,0,0,0,0,0,1,0,1,0,0,-1
score,1288,0.00022128857989428316,12.141783380082511,5,NN,9,0,score,0,1,0,0,1,0,1,0,1,0,1
real,1255,0.0002156189190740104,12.179228609358994,4,JJ,1,0,real,0,0,0,0,0,0,1,0,0,1,1
tree,1252,0.00021510349536307648,12.182681411264511,4,NN,11,0,tree,1,1,1,0,1,0,1,0,1,1,1
count,1211,0.00020805937131364665,12.2307171085028,5,NN,5,0,count,0,0,0,0,0,0,1,0,0,1,1
beam,1150,0.00019757908919132425,12.305282112365392,4,NN,7,0,beam,0,0,0,0,1,0,1,0,0,0,1
limited,1132,0.00019448654692572092,12.328042015365247,7,VBN,3,0,limit,1,0,0,0,0,1,0,1,0,0,-1
determination,1129,0.00019397112321478704,12.331870487424128,13,NN,3,0,determin,0,0,0,0,0,0,1,0,0,1,1
fault,1053,0.00018091372253779516,12.432410537171412,5,NN,9,0,fault,0,0,0,0,0,1,0,1,0,0,-1
true,1051,0.0001805701067305059,12.43515330423495,4,JJ,1,0,true,0,0,0,0,1,0,1,0,0,1,1
ram,1031,0.0001771339486576133,12.46287164082902,3,NN,8,0,ram,1,1,0,0,0,1,0,0,0,0,-1
providing,940,0.000161499429425952,12.59618331163213,9,VBG,2,0,provid,0,1,0,0,1,0,1,0,0,1,1
unknown,929,0.00015960954248586107,12.613165471814476,7,JJ,6,0,unknown,0,1,0,1,0,1,0,0,0,0,-1
expert,914,0.00015703242393119162,12.636649903139059,6,NN,9,0,expert,0,0,0,0,0,0,1,0,0,1,1
cross,910,0.0001563451923166131,12.642977523111071,5,NN,8,0,cross,1,0,0,1,0,1,0,1,0,0,-1
adder,901,0.00015479892118381143,12.65731696238359,5,NN,10,0,adder,1,0,1,1,0,1,0,1,0,0,-1
important,894,0.00015359626585829904,12.668569237013811,9,JJ,1,0,import,0,0,0,0,0,0,1,0,0,1,1
larger,888,0.00015256541843643124,12.678284391847024,6,JJR,1,0,larger,0,0,1,0,0,0,0,0,1,1,0
store,871,0.00014964468407447254,12.706171349598264,5,VB,5,0,store,0,1,0,0,0,0,1,0,0,0,1
top,866,0.0001487856445562494,12.714477043470405,3,JJ,6,0,top,0,1,0,0,0,0,1,0,0,1,1
receiving,864,0.00014844202874896012,12.717812756033661,9,VBG,3,0,receiv,0,1,0,0,1,0,1,0,1,0,1
dependent,859,0.00014758298923073698,12.726185937058665,9,JJ,6,0,depend,0,0,0,0,0,1,1,0,0,1,0
destination,853,0.00014655214180886922,12.736298326878838,11,NN,2,0,destin,0,1,0,1,1,0,1,1,1,0,1
enable,838,0.00014397502325419977,12.761893824497777,6,JJ,6,0,enabl,0,0,0,0,0,0,1,0,0,1,1
content,838,0.00014397502325419977,12.761893824497777,7,NN,5,0,content,0,0,0,0,1,0,1,0,0,1,1
force,806,0.0001384771703375716,12.818064229669162,5,NN,5,0,forc,1,0,0,1,0,1,0,0,0,0,-1
patient,790,0.00013572824387925753,12.846991415132663,7,NN,4,0,patient,0,1,0,0,0,0,1,0,0,0,1
intended,787,0.00013521282016832364,12.852480432689642,8,VBN,3,0,intend,0,1,0,0,0,0,1,0,0,0,1
finally,778,0.00013366654903552197,12.869073913210936,7,RB,1,0,final,0,1,1,0,1,0,1,0,1,1,1
management,763,0.00013108943048085252,12.897161011362599,10,NN,1,0,manag,0,0,0,0,0,0,1,0,0,1,1
dictionary,741,0.00012730965660067068,12.939370525891295,10,JJ,7,0,dictionari,0,0,0,0,0,0,1,0,0,1,1
constraint,730,0.00012541976966057975,12.96094760442975,10,NN,4,0,constraint,1,0,0,1,0,1,0,1,0,0,-1
gain,727,0.00012490434594964587,12.966888704277535,4,NN,5,0,gain,0,1,0,0,1,0,1,0,0,0,1
bias,717,0.00012318626691319956,12.986870949495223,4,NN,9,0,bia,1,0,0,0,0,1,0,0,0,0,-1
create,708,0.00012163999578039788,13.005094708114132,6,VB,4,0,creat,0,0,0,0,1,0,1,0,0,0,1
failure,694,0.00011923468512937307,13.033908405618869,7,NN,4,0,failur,0,0,1,1,0,1,0,1,0,0,-1
default,658,0.0001130496005981664,13.110756484461888,7,NN,5,0,default,0,0,1,1,0,1,0,1,0,0,-1
formula,645,0.00011081609785078621,13.139544907886512,7,NN,5,0,formula,0,0,0,0,0,0,1,0,0,1,1
offset,634,0.00010892621091069529,13.164361228057722,6,NN,10,0,offset,0,1,0,0,0,0,1,0,0,0,1
teacher,624,0.00010720813187424898,13.18729803933488,7,NN,11,0,teacher,0,0,0,0,0,0,1,0,0,1,1
unique,614,0.00010549005283780269,13.210605412826949,6,JJ,5,0,uniqu,0,0,0,0,0,0,1,0,1,0,1
accomplished,612,0.00010514643703051342,13.215312415504478,12,VBN,3,0,accomplish,0,0,0,0,1,0,1,0,0,0,1
hypothesis,610,0.00010480282122322417,13.22003482574688,10,NN,5,0,hypothesi,0,1,0,0,0,0,0,0,1,0,0
sentence,609,0.00010463101331957954,13.222401840290797,8,NN,4,0,sentenc,1,1,1,1,0,1,0,1,0,0,-1
relevant,592,0.00010171027895762084,13.26324689256818,8,JJ,4,0,relev,0,0,0,0,0,0,1,0,0,1,1
confidence,588,0.00010102304734304231,13.273027913360764,10,NN,1,0,confid,0,0,0,1,1,0,1,0,0,1,1
accurate,572,9.827412088472824e-05,13.31282892141874,8,JJ,6,0,accur,0,0,0,0,0,0,1,0,0,1,1
established,571,9.810231298108361e-05,13.315353322834286,11,VBN,4,0,establish,0,0,0,0,1,0,1,0,0,0,1
bottom,561,9.638423394463731e-05,13.340843297588336,6,NN,7,0,bottom,0,0,0,0,0,1,0,1,0,0,-1
highest,542,9.311988377538934e-05,13.390551216843257,7,JJS,1,0,highest,0,1,0,1,1,1,1,0,1,0,0
calls,535,9.191722844987693e-05,13.40930517690862,5,VBZ,2,0,call,0,1,0,0,0,1,0,0,0,1,-1
good,534,9.17454205462323e-05,13.412004326509575,4,JJ,4,0,good,0,1,0,0,1,0,1,0,1,1,1
alarm,517,8.88246861842736e-05,13.458679787882195,5,NN,7,0,alarm,0,0,0,1,0,1,0,0,1,0,-1
strength,509,8.745022295511657e-05,13.481178412121434,8,NN,1,0,strength,0,0,0,0,0,0,1,0,0,1,1
immediately,506,8.693479924418267e-05,13.489706683502819,11,RB,1,0,immedi,0,1,0,0,0,1,1,0,0,0,0
effective,501,8.607575972595952e-05,13.504033465001921,9,JJ,1,0,effect,0,0,0,0,0,0,1,0,0,1,1
interrupt,501,8.607575972595952e-05,13.504033465001921,9,JJ,6,0,interrupt,1,0,0,0,0,1,0,0,1,0,-1
fully,496,8.521672020773638e-05,13.518503947810254,5,RB,1,0,fulli,0,0,0,0,0,0,1,0,0,1,1
correspondence,478,8.212417794213304e-05,13.57183345021638,14,NN,1,0,correspond,0,1,0,0,0,0,1,0,0,0,1
addresses,476,8.178056213484378e-05,13.577882494889185,9,NNS,2,0,address,0,1,0,0,0,0,1,0,0,0,1
objective,475,8.160875423119915e-05,13.580916554978819,9,JJ,4,0,object,0,1,0,0,0,0,1,0,0,1,1
completion,471,8.092152261662063e-05,13.593117008584345,10,NN,3,0,complet,0,1,0,0,1,0,1,0,0,0,1
white,470,8.0749714712976e-05,13.59618331163213,5,JJ,1,0,white,0,1,0,0,1,0,1,0,0,1,1
resistance,463,7.954705938746359e-05,13.617831874936893,10,NN,2,0,resist,1,0,0,0,0,1,0,0,0,0,-1
production,453,7.782898035101729e-05,13.649333018150895,10,NN,1,0,product,0,1,0,0,0,0,1,0,0,0,1
prepared,452,7.765717244737266e-05,13.652521295781941,8,VBN,4,0,prepar,0,1,0,0,0,0,1,0,0,1,1
black,426,7.31901669526123e-05,13.73799063797129,5,JJ,1,0,black,0,0,0,0,0,1,0,1,0,0,-1
special,410,7.044124049429821e-05,13.793220158691684,7,JJ,2,0,special,0,0,0,0,1,0,1,0,0,0,1
gray,407,6.992581678336432e-05,13.803815273930882,4,JJ,6,0,gray,0,0,1,0,0,0,0,1,0,0,0
diagnosis,401,6.889496936149654e-05,13.82524183174221,9,NN,2,0,diagnosi,0,1,0,1,0,1,0,0,0,1,-1
flop,401,6.889496936149654e-05,13.82524183174221,4,NN,8,0,flop,0,0,1,0,0,1,0,1,0,0,-1
falling,397,6.820773774691802e-05,13.839705061054172,7,VBG,1,0,fall,0,0,0,0,0,1,0,1,0,0,-1
laser,394,6.769231403598414e-05,13.850648438740752,5,NN,6,0,laser,0,0,0,0,0,0,1,0,0,1,1
achieve,384,6.597423499953783e-05,13.887737757475973,7,VB,5,0,achiev,0,0,0,0,1,0,1,0,0,1,1
loss,381,6.545881128860395e-05,13.899053070703808,4,NN,1,0,loss,1,0,0,1,0,1,0,1,0,0,-1
fundamental,380,6.528700338495932e-05,13.90284464986618,11,JJ,2,0,fundament,0,0,0,0,0,0,1,0,0,1,1
verification,380,6.528700338495932e-05,13.90284464986618,12,NN,2,0,verif,0,0,0,0,0,0,1,0,0,1,1
defect,377,6.477157967402542e-05,13.914279544928466,6,NN,4,0,defect,1,0,0,0,0,1,0,0,0,0,-1
depth,376,6.45997717703808e-05,13.918111406519492,5,NN,7,0,depth,0,0,0,0,0,0,1,0,0,1,1
remains,372,6.391254015580228e-05,13.933541447089098,7,VBZ,2,0,remain,0,0,1,1,0,1,1,0,0,1,0
subjected,368,6.322530854122376e-05,13.949138302140117,9,VBN,2,0,subject,0,0,0,0,0,1,0,1,0,0,-1
efficient,366,6.28816927339345e-05,13.957000419913086,9,JJ,4,0,effici,0,1,0,0,0,0,1,0,0,1,1
satisfied,359,6.16790374084221e-05,13.984860224374078,9,VBN,3,0,satisfi,0,0,0,0,1,0,1,0,0,0,1
electric,359,6.16790374084221e-05,13.984860224374078,8,JJ,2,0,electr,0,0,0,0,1,0,1,0,1,0,1
isolated,350,6.013276627562042e-05,14.0214891463648,8,VBN,3,0,isol,0,0,0,1,0,1,0,1,0,0,-1
influence,348,5.978915046833117e-05,14.0297567623484,9,NN,3,0,influenc,0,0,0,0,0,1,1,0,0,0,0
argument,335,5.755564772095098e-05,14.084682972851994,8,NN,2,0,argument,1,0,0,0,0,1,0,0,0,0,-1
stable,330,5.6696608202727826e-05,14.106378043951313,6,JJ,1,0,stabl,0,0,0,0,0,0,1,0,0,1,1
improvement,322,5.532214497357079e-05,14.141783380082511,11,NN,1,0,improv,0,0,0,0,1,0,1,0,0,1,1
theory,318,5.463491335899227e-05,14.159817302912774,6,NN,2,0,theori,0,1,0,0,0,0,0,0,0,1,0
assembly,314,5.3947681744413754e-05,14.178079509305501,8,NN,4,0,assembl,0,0,0,0,0,0,1,0,0,1,1
shot,313,5.377587384076912e-05,14.182681411264511,4,NN,4,0,shot,1,0,0,1,0,1,0,1,1,0,-1
restriction,310,5.3260450129835236e-05,14.19657585292289,11,NN,3,0,restrict,1,0,0,1,0,1,0,1,0,0,-1
experiment,298,5.1198755286099675e-05,14.253531737734967,10,NN,5,0,experi,0,1,0,0,0,0,0,0,1,0,0
discriminate,296,5.085513947881042e-05,14.26324689256818,12,NN,4,0,discrimin,1,0,0,0,0,1,0,1,0,0,-1
calculator,295,5.0683331575165784e-05,14.268129113947925,10,NN,1,0,calcul,0,0,0,0,0,0,1,0,0,1,1
principal,291,4.9996099960587266e-05,14.287824915288844,9,JJ,4,0,princip,0,0,0,0,0,0,1,0,0,1,1
resources,290,4.982429205694264e-05,14.292791168182195,9,NNS,1,0,resourc,0,0,0,0,1,0,1,0,0,1,1
radiation,289,4.965248415329801e-05,14.29777457569645,9,NN,2,0,radiat,0,0,0,1,0,1,0,0,0,0,-1
lowest,288,4.9480676249653376e-05,14.302775256754817,6,JJS,5,0,lowest,0,0,0,0,0,1,0,1,0,0,-1
battery,285,4.8965252538719486e-05,14.317882149145024,7,NN,4,0,batteri,1,0,0,0,0,1,0,0,0,0,-1
organization,281,4.827802092414097e-05,14.338273937976203,12,NN,1,0,organ,0,1,0,0,1,0,1,0,1,1,1
improve,280,4.810621302049634e-05,14.343417241252162,7,VB,3,0,improv,0,1,0,0,1,0,1,0,0,1,1
excitation,279,4.793440511685171e-05,14.348578946367942,10,NN,4,0,excit,1,1,0,1,1,0,1,0,1,0,1
kind,277,4.759078930956245e-05,14.35895809214794,4,NN,1,0,kind,0,0,0,0,1,0,1,0,0,1,1
fall,274,4.707536559862856e-05,14.374668175236602,4,NN,4,0,fall,0,0,0,0,0,1,0,1,0,0,-1
avoid,272,4.6731749791339304e-05,14.38523741694679,5,VB,5,0,avoid,0,0,0,1,0,1,0,0,0,0,-1
child,265,4.5529094465826895e-05,14.422851708746567,5,NN,6,0,child,0,1,0,0,1,0,1,0,0,0,1
neighbor,256,4.3982823333025225e-05,14.47270025819713,8,NN,3,0,neighbor,0,1,0,0,0,0,1,0,0,1,1
collision,254,4.363920752573596e-05,14.484015571424964,9,NN,1,0,collis,1,0,0,0,0,1,0,0,0,0,-1
serve,249,4.2780168007512816e-05,14.512698326129048,5,VB,3,0,serv,0,0,0,0,0,1,0,0,0,1,-1
complement,249,4.2780168007512816e-05,14.512698326129048,10,NN,5,0,complement,0,1,0,0,1,0,1,0,1,1,1
versus,248,4.260836010386819e-05,14.518503947810254,6,NN,6,0,versu,1,0,0,0,0,1,0,0,0,0,-1
statement,248,4.260836010386819e-05,14.518503947810254,9,NN,1,0,statement,0,0,0,0,0,0,1,0,0,1,1
continue,247,4.2436552200223554e-05,14.524333026612451,8,VB,5,0,continu,0,1,0,0,0,0,1,0,0,1,1
missing,246,4.2264744296578926e-05,14.53018575285789,7,VBG,3,0,miss,0,0,0,1,0,1,0,1,0,0,-1
slip,235,4.0374857356488e-05,14.59618331163213,4,NN,4,0,slip,0,0,0,0,0,1,0,0,1,0,-1
abnormal,234,4.020304945284337e-05,14.602335538613724,8,JJ,3,0,abnorm,0,0,1,0,0,1,0,0,0,0,-1
rat,231,3.968762574190948e-05,14.620951216781071,3,NN,5,0,rat,0,0,1,1,0,1,0,0,0,0,-1
bad,228,3.917220203097559e-05,14.639810244032388,3,JJ,1,0,bad,1,0,1,1,0,1,0,1,0,0,-1
understanding,225,3.86567783200417e-05,14.658919066980092,13,NN,3,0,understand,0,0,0,0,0,0,1,0,0,1,1
responsive,225,3.86567783200417e-05,14.658919066980092,10,JJ,4,0,respons,0,1,0,0,0,0,1,0,0,1,1
remove,222,3.814135460910781e-05,14.678284391847024,6,VB,5,0,remov,1,0,0,1,0,1,0,1,0,0,-1
advance,222,3.814135460910781e-05,14.678284391847024,7,NN,4,0,advanc,0,1,0,1,1,0,1,0,1,0,1
title,219,3.762593089817392e-05,14.697913198595955,5,NN,4,0,titl,0,0,0,0,0,0,1,0,0,1,1
engaged,217,3.7282315090884665e-05,14.711149025752649,7,VBN,3,0,engag,0,1,0,0,1,0,1,0,0,1,1
disposed,216,3.711050718724003e-05,14.717812756033661,8,VBN,4,0,dispos,0,1,0,0,0,0,1,0,0,1,1
fat,215,3.69386992835954e-05,14.72450740860767,3,JJ,8,0,fat,0,0,1,0,0,1,0,1,0,0,-1
jump,215,3.69386992835954e-05,14.72450740860767,4,NN,4,0,jump,0,0,0,0,1,0,1,0,0,0,1
responsible,213,3.659508347630615e-05,14.73799063797129,11,JJ,1,0,respons,0,0,0,0,0,0,1,0,0,1,1
disabled,212,3.642327557266151e-05,14.74477980363393,8,VBN,5,0,disabl,0,0,0,1,0,1,0,1,0,0,-1
obvious,210,3.6079659765372257e-05,14.758454740531006,7,JJ,1,0,obviou,0,0,0,0,0,0,1,0,0,1,1
communicate,209,3.590785186172762e-05,14.765341126116246,11,VB,4,0,commun,0,0,0,0,0,0,1,0,0,1,1
depend,209,3.590785186172762e-05,14.765341126116246,6,VB,3,0,depend,0,1,0,0,0,0,0,0,0,1,0
fitting,208,3.5736043958082994e-05,14.772260540056037,7,VBG,3,0,fit,0,1,0,0,1,0,1,0,0,1,1
exceed,207,3.5564236054438366e-05,14.779213300697803,6,VB,2,0,exceed,0,1,0,0,1,0,1,0,0,0,1
throttle,206,3.539242815079374e-05,14.78619973101391,8,JJ,6,0,throttl,1,0,0,0,0,1,0,0,0,0,-1
reliability,206,3.539242815079374e-05,14.78619973101391,11,NN,1,0,reliabl,0,0,0,0,0,0,1,0,0,1,1
rating,205,3.5220620247149104e-05,14.793220158691684,6,NN,1,0,rate,1,0,0,1,0,1,0,1,0,0,-1
absence,203,3.487700443985985e-05,14.807364341011953,7,NN,1,0,absenc,0,0,0,1,0,1,0,1,0,0,-1
intelligent,202,3.4705196536215214e-05,14.814488775445334,11,JJ,2,0,intellig,0,0,0,0,0,0,1,0,0,1,1
isolation,202,3.4705196536215214e-05,14.814488775445334,9,NN,2,0,isol,0,0,0,0,0,1,0,1,0,0,-1
rising,201,3.4533388632570586e-05,14.821648567018201,6,VBG,2,0,rise,0,1,0,0,1,0,1,0,0,0,1
discrimination,199,3.418977282528133e-05,14.83607563765348,14,NN,4,0,discrimin,1,0,1,1,0,1,0,1,0,0,-1
inter,198,3.4017964921636696e-05,14.843343638117519,5,NN,5,0,inter,0,0,0,0,0,1,0,1,0,0,-1
save,198,3.4017964921636696e-05,14.843343638117519,4,VB,5,0,save,0,0,0,0,1,0,1,0,0,1,1
freedom,194,3.333073330705818e-05,14.87278741601,7,NN,1,0,freedom,0,0,0,0,1,0,1,0,0,1,1
guide,194,3.333073330705818e-05,14.87278741601,5,NN,6,0,guid,0,0,0,0,0,0,1,0,0,1,1
steady,192,3.2987117499768915e-05,14.887737757475973,6,JJ,3,0,steadi,0,0,0,0,0,0,0,0,1,1,0
disease,188,3.22998858851904e-05,14.918111406519492,7,NN,4,0,diseas,1,0,1,1,0,1,0,1,0,0,-1
momentum,186,3.195627007790114e-05,14.933541447089098,8,NN,3,0,momentum,0,1,0,0,0,0,1,0,0,0,1
descent,186,3.195627007790114e-05,14.933541447089098,7,NN,2,0,descent,0,0,0,1,0,0,0,1,0,0,0
broken,185,3.178446217425651e-05,14.941318797680816,6,VBN,6,0,broken,1,0,0,1,0,1,0,1,0,0,-1
develop,182,3.126903846332262e-05,14.964905617998433,7,VB,5,0,develop,0,1,0,0,0,0,1,0,0,0,1
termination,181,3.109723055967799e-05,14.972854371113923,11,NN,1,0,termin,0,0,0,0,0,1,0,1,0,0,-1
planning,181,3.109723055967799e-05,14.972854371113923,8,NN,3,0,plan,0,1,0,0,0,0,1,0,0,1,1
merge,180,3.092542265603336e-05,14.980847161867453,5,NN,5,0,merg,0,1,0,0,0,0,1,0,0,0,1
dashed,180,3.092542265603336e-05,14.980847161867453,6,JJ,4,0,dash,1,0,0,1,0,1,0,1,0,0,-1
don,174,2.9894575234165584e-05,15.0297567623484,3,NN,4,1,don,0,0,0,0,0,0,1,0,0,1,1
lie,170,2.9207343619587062e-05,15.063309322059427,3,VB,7,0,lie,1,0,1,0,0,1,0,1,0,0,-1
successful,170,2.9207343619587062e-05,15.063309322059427,10,JJ,1,0,success,0,1,0,0,1,0,1,0,0,1,1
guidance,169,2.9035535715942434e-05,15.071820821914944,8,NN,2,0,guidanc,0,0,0,0,0,0,1,0,0,1,1
importance,168,2.8863727812297803e-05,15.08038283541837,10,NN,3,0,import,0,1,0,0,0,0,1,0,0,0,1
scientific,167,2.8691919908653175e-05,15.088995965723077,10,JJ,1,0,scientif,0,0,0,0,0,0,1,0,0,1,1
damage,165,2.8348304101363913e-05,15.106378043951313,6,NN,3,0,damag,1,0,1,0,0,1,0,1,0,0,-1
wait,163,2.8004688294074654e-05,15.123972103966052,4,VB,4,0,wait,0,1,0,0,0,1,0,0,0,0,-1
disable,161,2.7661072486785395e-05,15.141783380082511,7,JJ,3,0,disabl,0,0,0,1,0,1,0,1,0,0,-1
manipulation,160,2.7489264583140764e-05,15.150772163309767,12,NN,1,0,manipul,1,0,0,1,0,1,0,0,0,0,-1
reinforcement,158,2.7145648775851505e-05,15.168919510020027,13,NN,3,0,reinforc,0,0,0,0,0,0,1,0,0,1,1
progress,158,2.7145648775851505e-05,15.168919510020027,8,NN,5,0,progress,0,1,0,0,1,0,1,0,0,0,1
loudness,158,2.7145648775851505e-05,15.168919510020027,8,NN,3,0,loud,1,0,0,0,0,1,0,0,0,0,-1
share,156,2.6802032968562246e-05,15.18729803933488,5,NN,1,0,share,0,1,0,0,1,0,1,0,0,1,1
green,156,2.6802032968562246e-05,15.18729803933488,5,JJ,5,0,green,0,0,0,0,1,0,1,0,0,1,1
assessment,155,2.6630225064917618e-05,15.19657585292289,10,NN,3,0,assess,0,0,0,0,0,0,0,0,1,1,0
impossible,153,2.6286609257628355e-05,15.215312415504478,10,JJ,2,0,imposs,0,0,0,0,0,1,0,1,0,0,-1
reliable,150,2.577118554669447e-05,15.243881567701248,8,JJ,1,0,reliabl,0,0,0,0,0,0,1,0,0,1,1
sin,149,2.5599377643049837e-05,15.253531737734967,3,NN,5,0,sin,1,0,1,1,0,1,0,1,0,0,-1
pertinent,149,2.5599377643049837e-05,15.253531737734967,9,JJ,4,0,pertin,0,0,0,0,0,0,1,0,0,1,1
corporation,147,2.5255761835760578e-05,15.273027913360764,11,NN,2,0,corpor,0,0,0,0,0,0,1,0,0,1,1
opposed,146,2.5083953932115947e-05,15.282875699317112,7,VBN,3,0,oppos,1,0,0,1,0,1,0,0,0,0,-1
torpedo,146,2.5083953932115947e-05,15.282875699317112,7,NN,2,0,torpedo,1,0,0,0,0,1,0,0,0,0,-1
committed,145,2.491214602847132e-05,15.292791168182195,9,VBN,4,0,commit,0,0,0,0,0,0,1,0,0,1,1
risk,143,2.456853022118206e-05,15.31282892141874,4,NN,5,0,risk,0,1,0,1,0,1,0,0,0,0,-1
neutral,142,2.439672231753743e-05,15.322953138692446,7,JJ,2,0,neutral,0,1,0,0,0,0,0,0,0,1,0
delivery,140,2.405310651024817e-05,15.343417241252162,8,NN,1,0,deliveri,0,1,0,0,0,0,1,0,0,0,1
teach,139,2.388129860660354e-05,15.353759185473622,5,NN,3,0,teach,0,0,0,0,1,0,1,0,1,1,1
fabrication,138,2.370949070295891e-05,15.364175801418959,11,NN,3,0,fabric,0,0,0,0,0,1,0,0,0,1,-1
examination,137,2.353768279931428e-05,15.374668175236602,11,NN,1,0,examin,0,0,0,1,0,1,0,0,1,0,-1
supporting,137,2.353768279931428e-05,15.374668175236602,10,VBG,2,0,support,0,0,0,0,0,0,1,0,0,1,1
disturbance,137,2.353768279931428e-05,15.374668175236602,11,NN,3,0,disturb,1,0,0,1,0,1,0,1,1,0,-1
primer,135,2.319406699202502e-05,15.395884661146297,6,NN,6,0,primer,0,0,0,0,0,0,1,0,0,1,1
contamination,134,2.302225908838039e-05,15.406611067739357,13,NN,1,0,contamin,0,0,1,0,0,1,0,0,0,0,-1
sun,134,2.302225908838039e-05,15.406611067739357,3,NN,4,0,sun,0,1,0,0,1,0,1,0,1,1,1
noisy,133,2.285045118473576e-05,15.41741782269594,5,JJ,5,0,noisi,1,0,0,0,0,1,0,0,0,0,-1
interior,133,2.285045118473576e-05,15.41741782269594,8,JJ,4,0,interior,0,0,1,0,0,0,1,0,0,1,1
star,132,2.267864328109113e-05,15.428306138838675,4,NN,3,0,star,0,1,0,0,1,0,1,0,0,1,1
decomposition,131,2.2506835377446503e-05,15.439277256659679,13,NN,2,0,decomposit,0,0,1,1,0,1,0,1,0,0,-1
music,130,2.233502747380187e-05,15.450332445168675,5,NN,1,0,music,0,0,0,0,1,0,1,1,0,0,1
dependence,129,2.2163219570157244e-05,15.461473002773875,10,NN,1,0,depend,0,0,0,1,0,1,0,1,0,0,-1
simplify,129,2.2163219570157244e-05,15.461473002773875,8,VB,4,0,simplifi,0,1,0,0,1,0,1,0,1,1,1
medical,128,2.1991411666512612e-05,15.47270025819713,7,JJ,1,0,medic,0,1,0,1,0,0,1,0,0,1,1
shell,128,2.1991411666512612e-05,15.47270025819713,5,NN,5,0,shell,1,0,0,1,0,1,0,1,1,0,-1
pop,127,2.181960376286798e-05,15.484015571424964,3,NN,6,0,pop,0,0,0,0,0,1,0,0,1,0,-1
margin,126,2.1647795859223353e-05,15.495420334697213,6,NN,2,0,margin,0,0,0,0,0,1,0,1,0,0,-1
strip,126,2.1647795859223353e-05,15.495420334697213,5,NN,7,0,strip,0,0,0,0,0,1,0,1,0,0,-1
